community_area,year,ward,n_requests,n_closed,share_closed,n_open,share_open,median_ttc_hours,p75_ttc_hours,mean_ttc_hours,median_age_open_hours,p75_age_open_hours,pct_closed_24h,pct_closed_72h,pct_closed_7d,pct_closed_30d,small_n_requests,small_n_closed
1,2021,40.0,489,487,0.9959,2,0.0041,65.8528,403.3588,987.2005,40425.7935,41301.9181,0.3436,0.5215,0.6442,0.8303,False,False
1,2021,49.0,8226,8117,0.9867,109,0.0133,62.9389,485.9081,1065.8087,38986.7958,41413.5375,0.382,0.5179,0.6071,0.7755,False,False
1,2021,50.0,24,24,1.0,0,0.0,0.8431,45.3127,1196.4521,,,0.7083,0.7917,0.8333,0.8333,True,True
1,2022,40.0,616,616,1.0,0,0.0,52.254,345.5275,562.5324,,,0.3393,0.5292,0.6575,0.836,False,False
1,2022,49.0,8851,8707,0.9837,144,0.0163,48.7883,402.3939,1021.6383,29754.6719,31509.0319,0.4071,0.537,0.6228,0.7926,False,False
1,2022,50.0,20,20,1.0,0,0.0,16.661,62.9665,340.7237,,,0.55,0.8,0.85,0.85,True,True
1,2023,40.0,231,224,0.9697,7,0.0303,48.7604,275.6912,471.5812,20200.3158,20295.7175,0.368,0.5584,0.6537,0.8268,False,False
1,2023,49.0,9373,9184,0.9798,189,0.0202,44.5558,287.0892,580.5429,21901.4914,23869.3394,0.3973,0.5612,0.6708,0.8502,False,False
1,2024,40.0,255,246,0.9647,9,0.0353,36.6258,194.4156,345.0524,14478.9689,15678.2344,0.4196,0.5608,0.6863,0.8627,False,False
1,2024,49.0,9998,9604,0.9606,394,0.0394,42.4765,207.8031,462.7216,13630.9865,15343.4898,0.3956,0.5768,0.6955,0.8455,False,False
1,2025,40.0,223,211,0.9462,12,0.0538,21.0933,130.2162,321.0727,2914.9754,4488.441,0.5471,0.6413,0.7489,0.8386,False,False
1,2025,49.0,11340,10594,0.9342,746,0.0658,35.9646,191.2865,294.208,3170.8497,5452.925,0.4126,0.569,0.684,0.8254,False,False
2,2021,40.0,3271,3207,0.9804,64,0.0196,80.4306,713.344,1437.0365,38956.4128,41488.3062,0.3445,0.4769,0.568,0.7368,False,False
2,2021,49.0,428,419,0.979,9,0.021,72.6197,403.7575,990.3832,38584.5708,39564.5411,0.3458,0.4883,0.5888,0.8107,False,False
2,2021,50.0,10913,10743,0.9844,170,0.0156,95.3175,677.7274,1256.9554,38941.406,39770.9035,0.3071,0.454,0.5548,0.7434,False,False
2,2022,16.0,1,1,1.0,0,0.0,2276.5269,2276.5269,2276.5269,,,0.0,0.0,0.0,0.0,True,True
2,2022,40.0,3730,3697,0.9912,33,0.0088,69.4442,571.0994,1223.8949,31384.8639,33127.2175,0.3373,0.5046,0.604,0.7689,False,False
2,2022,49.0,373,370,0.992,3,0.008,75.8226,841.6781,1358.0182,30131.3783,30957.6543,0.3646,0.4906,0.5952,0.7346,False,False
2,2022,50.0,10589,10444,0.9863,145,0.0137,93.0,527.5224,1224.2524,31712.82,34832.5678,0.3246,0.4662,0.5628,0.7702,False,False
2,2023,40.0,3993,3926,0.9832,67,0.0168,49.2079,303.6606,771.5819,21160.1897,24055.3218,0.3839,0.5445,0.6629,0.8537,False,False
2,2023,49.0,593,589,0.9933,4,0.0067,22.6397,256.2264,506.1275,24513.7533,25377.8053,0.511,0.6172,0.7083,0.8685,False,False
2,2023,50.0,9576,9426,0.9843,150,0.0157,63.1751,345.9408,715.8402,21611.3756,24053.7447,0.3615,0.5172,0.6373,0.8472,False,False
2,2024,40.0,4711,4516,0.9586,195,0.0414,37.6568,246.2037,459.7705,13214.34,14776.8476,0.4292,0.5636,0.6604,0.8648,False,False
2,2024,49.0,482,469,0.973,13,0.027,24.7433,165.5719,396.3764,13494.6597,14731.0172,0.4772,0.6266,0.7303,0.8402,False,False
2,2024,50.0,11132,10698,0.961,434,0.039,66.2707,296.7481,563.331,14141.0444,15880.0596,0.3193,0.5001,0.6364,0.8301,False,False
2,2025,40.0,4338,4054,0.9345,284,0.0655,48.1972,259.9714,338.7347,2931.4261,5295.8844,0.3792,0.5219,0.6436,0.8149,False,False
