community_area,community_name,total_population,poverty_rate,median_household_income_weighted,unemployment_rate,pct_less_than_hs,pct_bachelor_plus,snap_rate,public_assist_rate,rent_burden_30p_rate,rent_burden_50p_rate,crowding_rate,pct_renter,vacancy_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black_non_hispanic,pct_hispanic
1,ROGERS PARK,49628,0.184,64218.0,0.0743,0.1219,0.5176,0.1627,0.0446,0.4925,0.2351,0.0516,0.7133,0.0908,0.3604,0.4194,0.2312,0.2416
2,WEST RIDGE,78373,0.1929,71554.0,0.0733,0.1279,0.4388,0.2072,0.0353,0.5336,0.2907,0.0843,0.4938,0.0769,0.1499,0.3937,0.1171,0.2058
3,UPTOWN,56344,0.1845,74039.0,0.047,0.0727,0.6087,0.1464,0.035,0.4687,0.2188,0.0237,0.7072,0.0912,0.4285,0.5197,0.1901,0.1415
4,LINCOLN SQUARE,41651,0.093,91672.0,0.0519,0.0503,0.6781,0.0675,0.0314,0.4328,0.2248,0.02,0.5928,0.0618,0.2224,0.6232,0.0416,0.1778
5,NORTH CENTER,36014,0.0508,148188.0,0.0381,0.0268,0.8049,0.0382,0.0148,0.3052,0.1175,0.0024,0.4313,0.087,0.1201,0.7334,0.0235,0.1185
6,LAKE VIEW,102827,0.0827,120923.0,0.0335,0.0177,0.8326,0.0507,0.0167,0.3884,0.1751,0.011,0.6249,0.0601,0.3946,0.7289,0.0448,0.1025
7,LINCOLN PARK,67987,0.0852,158658.0,0.0431,0.0214,0.8683,0.0357,0.0144,0.3778,0.1606,0.01,0.5524,0.0992,0.3156,0.7669,0.0247,0.0792
8,NEAR NORTH SIDE,100633,0.1014,121327.0,0.0316,0.0188,0.8562,0.0451,0.0161,0.4065,0.1824,0.023,0.639,0.0975,0.4768,0.6495,0.0838,0.0808
9,EDISON PARK,11558,0.0812,130037.0,0.0337,0.0219,0.5751,0.0254,0.0077,0.4829,0.2579,0.015,0.188,0.0549,0.056,0.7943,0.0061,0.1492
10,NORWOOD PARK,39530,0.0566,110250.0,0.0437,0.0647,0.4752,0.072,0.0241,0.4628,0.2741,0.0138,0.1909,0.0378,0.0712,0.7061,0.0095,0.1801
11,JEFFERSON PARK,26649,0.0563,96865.0,0.0516,0.077,0.4474,0.0915,0.0247,0.4455,0.0994,0.0245,0.3267,0.0471,0.1065,0.5606,0.0281,0.2692
12,FOREST GLEN,19901,0.0483,138666.0,0.0415,0.0375,0.6526,0.0563,0.0272,0.448,0.2107,0.015,0.1165,0.0258,0.0488,0.7009,0.0141,0.1078
13,NORTH PARK,18356,0.1711,69083.0,0.042,0.0863,0.4735,0.1909,0.04,0.4406,0.2154,0.0538,0.519,0.1023,0.1858,0.4478,0.0557,0.1647
14,ALBANY PARK,45538,0.1194,86837.0,0.0687,0.1811,0.4378,0.1344,0.0271,0.4167,0.1651,0.0407,0.5627,0.0773,0.1788,0.3422,0.0351,0.4298
15,PORTAGE PARK,63031,0.1088,92019.0,0.0493,0.1174,0.3897,0.1357,0.0251,0.4696,0.2789,0.0339,0.3875,0.0648,0.1153,0.4657,0.0234,0.409
16,IRVING PARK,53332,0.1077,94018.0,0.0658,0.0964,0.5166,0.1098,0.0343,0.4304,0.1868,0.0294,0.4865,0.0615,0.1425,0.4593,0.0371,0.3738
17,DUNNING,41233,0.091,87863.0,0.0558,0.1144,0.2718,0.0825,0.0268,0.467,0.267,0.0292,0.2051,0.0547,0.0676,0.518,0.0254,0.367
18,MONTCLARE,14280,0.146,74032.0,0.0579,0.1773,0.2268,0.1747,0.0206,0.5883,0.3469,0.0399,0.4417,0.0371,0.099,0.2938,0.0729,0.6075
19,BELMONT CRAGIN,72088,0.1574,70209.0,0.058,0.2956,0.1745,0.2387,0.0464,0.5489,0.288,0.0755,0.4768,0.0647,0.1392,0.1298,0.0392,0.7815
20,HERMOSA,22576,0.1346,70770.0,0.052,0.2517,0.2259,0.1961,0.035,0.4553,0.2339,0.0732,0.516,0.0743,0.1087,0.0979,0.0297,0.8486
21,AVONDALE,35533,0.1301,92274.0,0.06,0.1364,0.4729,0.1112,0.0329,0.3816,0.1669,0.0201,0.563,0.069,0.1799,0.379,0.0316,0.4968
22,LOGAN SQUARE,72375,0.1038,113414.0,0.0451,0.0711,0.6378,0.0844,0.032,0.3469,0.1419,0.0165,0.6106,0.0891,0.2187,0.5295,0.0572,0.3256
23,HUMBOLDT PARK,56153,0.2638,58669.0,0.1038,0.2166,0.2443,0.3028,0.0447,0.5781,0.3892,0.0577,0.5927,0.0912,0.2651,0.1207,0.3015,0.5376
24,WEST TOWN,83491,0.0817,139516.0,0.038,0.0501,0.7524,0.0844,0.0234,0.3236,0.1403,0.0158,0.5844,0.0588,0.2096,0.6115,0.0583,0.2049
25,AUSTIN,97452,0.2317,48833.0,0.1521,0.1714,0.1637,0.3805,0.0699,0.6193,0.3894,0.0517,0.572,0.0759,0.2975,0.0559,0.6902,0.2177
26,WEST GARFIELD PARK,15096,0.3074,35734.0,0.1897,0.2226,0.105,0.4978,0.0576,0.6838,0.4625,0.039,0.6817,0.2003,0.3289,0.0117,0.8908,0.0833
27,EAST GARFIELD PARK,20731,0.3808,35859.0,0.1836,0.1572,0.2317,0.4662,0.0471,0.6977,0.4049,0.0726,0.6847,0.125,0.3752,0.0763,0.7902,0.106
28,NEAR WEST SIDE,68165,0.1616,108064.0,0.0613,0.0446,0.7176,0.1374,0.029,0.3834,0.1972,0.0301,0.6535,0.0661,0.3368,0.4192,0.2426,0.1157
29,NORTH LAWNDALE,33958,0.3177,46475.0,0.1563,0.1662,0.1527,0.442,0.0754,0.611,0.3604,0.0605,0.7337,0.1798,0.3226,0.0423,0.7852,0.1503
30,SOUTH LAWNDALE,69884,0.2023,59624.0,0.0726,0.3536,0.1518,0.2268,0.0296,0.5039,0.2265,0.0923,0.5355,0.07,0.2223,0.0615,0.1187,0.8073
