community_area,community_area_name,n_schools_5e,avg_leaders_score,avg_teachers_score,avg_families_score,avg_environment_score,avg_instruction_score,sr_total_requests,sr_total_closed,sr_avg_share_closed,sr_avg_median_ttc_hours,sr_avg_p75_ttc_hours,sr_avg_pct_closed_24h,sr_avg_pct_closed_7d,sr_avg_pct_closed_30d,cps_n_schools,cps_student_attendance,cps_teacher_attendance,cps_mobility_rate,cps_graduation_rate,cps_college_enrollment,acs_total_population,acs_poverty_rate,acs_median_household_income_weighted,acs_unemployment_rate,acs_pct_less_than_hs,acs_pct_bachelor_plus,acs_snap_rate,acs_public_assist_rate,acs_rent_burden_30p_rate,acs_rent_burden_50p_rate,acs_crowding_rate,acs_pct_renter,acs_vacancy_rate,acs_no_vehicle_rate,acs_pct_white_non_hispanic,acs_pct_black_non_hispanic,acs_pct_hispanic
1,ROGERS PARK,8,41.16666666666666,36.833333333333336,43.16666666666666,47.958333333333336,46.875,29344,28601,0.9797857142857144,41.44597142857143,253.69814285714284,0.4109857142857143,0.6909428571428571,0.8376857142857143,89.35625,91.95277777777778,16.625,79.63333333333333,59.66666666666666,8,49628,0.184,64218.0,0.0743,0.1219,0.5176,0.1627,0.0446,0.4925,0.2351,0.0516,0.7133,0.0908,0.3604,0.4194,0.2312,0.2416
2,WEST RIDGE,9,60.29629629629629,58.77777777777778,59.55555555555556,54.333333333333336,56.48148148148149,45180,44136,0.98229,277.84872,583.1178299999999,0.35086,0.57976,0.7378199999999999,91.81666666666666,92.62222222222222,10.379166666666666,83.03333333333335,66.06666666666666,9,78373,0.1929,71554.0,0.0733,0.1279,0.4388,0.2072,0.0353,0.5336,0.2907,0.0843,0.4938,0.0769,0.1499,0.3937,0.1171,0.2058
3,UPTOWN,6,51.77777777777777,49.30555555555557,47.36111111111112,52.77777777777777,54.30555555555555,34187,33377,0.9763416666666668,51.298791666666666,350.125375,0.4058,0.6729833333333333,0.8128083333333334,82.19444444444444,92.51,28.02777777777777,67.16666666666667,55.366666666666674,6,56344,0.1845,74039.0,0.047,0.0727,0.6087,0.1464,0.035,0.4687,0.2188,0.0237,0.7072,0.0912,0.4285,0.5197,0.1901,0.1415
4,LINCOLN SQUARE,5,49.33333333333333,51.0,64.33333333333333,52.46666666666666,53.333333333333336,31268,30412,0.9622444444444443,791.9660333333334,1177.1005777777775,0.3157111111111111,0.5929333333333333,0.7630444444444444,92.03,92.79333333333332,6.326666666666666,88.93333333333334,72.56666666666666,5,41651,0.093,91672.0,0.0519,0.0503,0.6781,0.0675,0.0314,0.4328,0.2248,0.02,0.5928,0.0618,0.2224,0.6232,0.0416,0.1778
5,NORTH CENTER,7,51.40476190476191,51.19047619047619,59.583333333333336,61.76190476190476,53.47619047619048,30949,30095,0.979625,55.9969,351.9383,0.3923999999999999,0.6687125,0.818125,92.07619047619048,92.13333333333333,4.305555555555555,93.65,80.25555555555556,7,36014,0.0508,148188.0,0.0381,0.0268,0.8049,0.0382,0.0148,0.3052,0.1175,0.0024,0.4313,0.087,0.1201,0.7334,0.0235,0.1185
6,LAKE VIEW,11,49.66666666666667,51.25757575757576,61.95454545454545,53.59090909090909,54.621212121212125,57211,55675,0.9794533333333334,79.65036,327.04070666666667,0.2990066666666667,0.5933066666666666,0.8540933333333334,92.58484848484848,92.73333333333332,7.648484848484849,82.3,62.833333333333336,11,102827,0.0827,120923.0,0.0335,0.0177,0.8326,0.0507,0.0167,0.3884,0.1751,0.011,0.6249,0.0601,0.3946,0.7289,0.0448,0.1025
7,LINCOLN PARK,8,50.958333333333336,51.145833333333336,63.875,53.19047619047619,58.76190476190476,47603,46382,0.9567933333333334,116.36187333333334,878.38062,0.4139866666666666,0.6461866666666667,0.7721,92.9,92.77857142857144,5.628571428571428,81.60000000000001,86.5,8,67987,0.0852,158658.0,0.0431,0.0214,0.8683,0.0357,0.0144,0.3778,0.1606,0.01,0.5524,0.0992,0.3156,0.7669,0.0247,0.0792
8,NEAR NORTH SIDE,7,47.142857142857146,47.61904761904761,54.285714285714285,50.023809523809526,54.54761904761904,43260,42191,0.9811,50.37285333333333,317.1860666666667,0.4049333333333333,0.6494933333333334,0.8365333333333334,88.79047619047618,91.27333333333334,12.866666666666667,93.38333333333333,83.5,7,100633,0.1014,121327.0,0.0316,0.0188,0.8562,0.0451,0.0161,0.4065,0.1824,0.023,0.639,0.0975,0.4768,0.6495,0.0838,0.0808
9,EDISON PARK,3,66.16666666666667,64.16666666666667,67.33333333333333,66.16666666666667,53.83333333333333,9449,9040,0.9588666666666666,150.55370000000002,792.4762000000001,0.2745,0.5108,0.7158000000000001,77.45,93.10833333333336,4.233333333333333,,24.166666666666668,3,11558,0.0812,130037.0,0.0337,0.0219,0.5751,0.0254,0.0077,0.4829,0.2579,0.015,0.188,0.0549,0.056,0.7943,0.0061,0.1492
10,NORWOOD PARK,8,55.395833333333336,55.04166666666667,62.72916666666667,53.095238095238095,53.90476190476191,34103,33158,0.9775181818181818,239.85431818181817,706.3737181818182,0.3161909090909091,0.5702545454545455,0.7535909090909091,91.34375,93.30208333333334,6.029166666666667,91.4,73.16666666666667,8,39530,0.0566,110250.0,0.0437,0.0647,0.4752,0.072,0.0241,0.4628,0.2741,0.0138,0.1909,0.0378,0.0712,0.7061,0.0095,0.1801
